CURIE,Identifier,Name,Equivalent Identifiers,Equivalent Name,Types,MicroKG_Name
PANTHER.FAMILY:PTHR11157:SF19,PANTHER.FAMILY:PTHR11157:SF19,ELONGATION OF VERY LONG CHAIN FATTY ACIDS PROTEIN 1,PANTHER.FAMILY:PTHR11157:SF19,ELONGATION OF VERY LONG CHAIN FATTY ACIDS PROTEIN 1,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",ELONGATION OF VERY LONG CHAIN FATTY ACIDS PROTEIN 1
GO:0005925,GO:0005925,focal adhesion,GO:0005925,focal adhesion,"biolink:CellularComponent, biolink:AnatomicalEntity, biolink:PhysicalEssence, biolink:OrganismalEntity, biolink:SubjectOfInvestigation, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",focal adhesion
NCBIGene:114081710,NCBIGene:114081710,Dnase1l3,"NCBIGene:114081710, ENSEMBL:ENSMFVG00000006968","Dnase1l3, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",Dnase1l3
NCBITaxon:1955714,NCBITaxon:1955714,Cohnella sp. CIP 111063,NCBITaxon:1955714,Cohnella sp. CIP 111063,"biolink:OrganismTaxon, biolink:NamedThing",Cohnella sp. CIP 111063
NCBIGene:916615,NCBIGene:916615,rcnA,"NCBIGene:916615, UniProtKB:Q8X3U5","rcnA, RCNA_ECO57 Nickel/cobalt efflux system RcnA (sprot)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",rcnA
NCBITaxon:502393,NCBITaxon:502393,Gemelliphila asaccharolytica,"NCBITaxon:502393, MESH:C000652840, UMLS:C3715860","Gemelliphila asaccharolytica, Gemella asaccharolytica, Gemella asaccharolytica","biolink:OrganismTaxon, biolink:NamedThing",Gemelliphila asaccharolytica
NCBIGene:135427520,NCBIGene:135427520,org-1,NCBIGene:135427520,org-1,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",org-1
NCBIGene:77762327,NCBIGene:77762327,BDB00DRAFT_805809,NCBIGene:77762327,BDB00DRAFT_805809,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",BDB00DRAFT_805809
NCBIGene:125173501,NCBIGene:125173501,DENND2C,NCBIGene:125173501,DENND2C,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",DENND2C
NCBIGene:69618870,,,,,,frlB
NCBITaxon:2626209,NCBITaxon:2626209,unclassified Lautropia,NCBITaxon:2626209,unclassified Lautropia,"biolink:OrganismTaxon, biolink:NamedThing",unclassified Lautropia
